鄉鎮市區,交易標的,土地移轉總面積平方公尺,移轉層次,總樓層數,建物型態,主要用途,主要建材,建物移轉總面積平方公尺,建物現況格局.房,建物現況格局.廳,建物現況格局.衛,建物現況格局.隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積.平方公尺.,車位總價元,主建物面積,附屬建物面積,陽台面積,電梯
東山區,土地,6298.0,,,其他,,,0.0,0,0,0,1,無,2834100,450,,0.0,0,0.0,0.0,0.0,0
東山區,土地,3818.0,,,其他,,,0.0,0,0,0,1,無,1718100,450,,0.0,0,0.0,0.0,0.0,0
白河區,土地,98.58,,,其他,,,0.0,0,0,0,1,無,626206,6352,,0.0,0,0.0,0.0,0.0,0
白河區,房地(土地+建物),67.7,二層,二層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,69.89,1,0,1,1,有,2090000,29904,,0.0,0,49.28,0.0,5.38,0
北門區,土地,259.67,,,其他,,,0.0,0,0,0,1,無,500000,1926,,0.0,0,0.0,0.0,0.0,0
佳里區,土地,109.65,,,其他,,,0.0,0,0,0,1,無,784375,7153,,0.0,0,0.0,0.0,0.0,0
官田區,土地,1242.0,,,其他,,,0.0,0,0,0,1,無,2918700,2350,,0.0,0,0.0,0.0,0.0,0
東山區,土地,6757.55,,,其他,,,0.0,0,0,0,1,無,1150000,170,,0.0,0,0.0,0.0,0.0,0
安定區,土地,70.8,,,其他,,,0.0,0,0,0,1,無,1557600,22000,,0.0,0,0.0,0.0,0.0,0
歸仁區,土地,7.79,,,其他,,,0.0,0,0,0,1,無,90000,11553,,0.0,0,0.0,0.0,0.0,0
歸仁區,土地,1.92,,,其他,,,0.0,0,0,0,1,無,15000,7813,,0.0,0,0.0,0.0,0.0,0
歸仁區,土地,51.85,,,其他,,,0.0,0,0,0,1,無,2823232,54450,,0.0,0,0.0,0.0,0.0,0
玉井區,土地,791.0,,,其他,,,0.0,0,0,0,1,無,1350000,1707,,0.0,0,0.0,0.0,0.0,0
永康區,土地,746.83,,,其他,,,0.0,0,0,0,1,無,23032237,30840,,0.0,0,0.0,0.0,0.0,0
柳營區,土地,2887.37,,,其他,,,0.0,0,0,0,1,無,1600000,554,,0.0,0,0.0,0.0,0.0,0
安南區,土地,2420.46,,,其他,,,0.0,0,0,0,1,無,46005684,19007,,0.0,0,0.0,0.0,0.0,0
安南區,土地,2327.74,,,其他,,,0.0,0,0,0,1,無,44243355,19007,,0.0,0,0.0,0.0,0.0,0
永康區,土地,340.1,,,其他,,,0.0,0,0,0,1,無,12613343,37087,,0.0,0,0.0,0.0,0.0,0
