土地移轉總面積平方公尺,建物移轉總面積平方公尺,建物現況格局_房,建物現況格局_廳,建物現況格局_衛,建物現況格局_隔間,總價元,單價元平方公尺,車位移轉總面積_平方公尺,車位總價元,主建物面積,附屬建物面積,陽台面積,電梯,ifor,交易標的,建物型態,主要用途,有無管理組織,車位類別,city,x1
103.33,0.0,0.0,0.0,0.0,1.0,206666.0,2000.0,0.0,0.0,0.0,0.0,0.0,0,normal,土地,其他,,無,,tp,士林區
344.85,0.0,0.0,0.0,0.0,1.0,2.71224e7,78650.0,0.0,0.0,0.0,0.0,0.0,0,normal,土地,其他,,無,,tp,士林區
315.0,0.0,0.0,0.0,0.0,1.0,2.3821875e7,75625.0,0.0,0.0,0.0,0.0,0.0,0,normal,土地,其他,,無,,tp,士林區
0.15,0.0,0.0,0.0,0.0,1.0,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,normal,土地,其他,,無,,tp,大安區
2.0,43.78,0.0,0.0,0.0,1.0,4.25e6,71992.5,43.78,4.25e6,0.0,0.0,0.0,1,normal,車位,其他,見使用執照,有,坡道平面,tp,信義區
14.36,101.1,2.0,1.0,2.0,1.0,1.8e7,178042.0,0.0,0.0,54.23,0.0,16.91,1,normal,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,有,,tp,北投區
0.17,32.75,0.0,0.0,0.0,1.0,2.45e6,71992.5,32.75,2.45e6,0.0,0.0,0.0,1,normal,車位,其他,見使用執照,有,坡道平面,tp,中山區
14.78,100.54,2.0,1.0,1.0,1.0,1.88e7,186990.0,13.85,0.0,45.46,6.35,4.47,1,normal,房地(土地+建物)+車位,華廈(10層含以下有電梯),住家用,有,坡道機械,tp,內湖區
18.06,78.62,1.0,1.0,1.0,1.0,1.55e7,197151.0,0.0,0.0,54.23,1.23,0.0,1,normal,房地(土地+建物),住宅大樓(11層含以上有電梯),商業用,有,,tp,萬華區
0.41,60.56,0.0,0.0,0.0,1.0,2.6e6,71992.5,0.0,2.6e6,0.0,0.0,0.0,0,normal,車位,其他,停車場,無,坡道平面,tp,萬華區
9.44,49.45,2.0,1.0,1.0,1.0,1.106e7,223660.0,0.0,0.0,47.85,0.0,1.6,1,normal,房地(土地+建物),華廈(10層含以下有電梯),住家用,有,,tp,士林區
72.86,535.73,3.0,2.0,4.0,1.0,2.022e8,432637.0,96.1,1.2e7,231.7,22.6,31.76,1,outlier,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),住家用,有,坡道平面,tp,信義區
0.18,34.81,0.0,0.0,0.0,1.0,2.0e6,71992.5,0.0,2.0e6,0.0,0.0,0.0,1,normal,車位,其他,見使用執照,有,坡道平面,tp,南港區
0.04,32.3,0.0,0.0,0.0,1.0,2.9e6,71992.5,32.3,2.9e6,0.0,0.0,0.0,0,normal,車位,其他,見使用執照,無,坡道平面,tp,松山區
38.75,78.49,3.0,1.0,1.0,1.0,1.116e7,142184.0,0.0,0.0,78.49,0.0,0.0,0,normal,房地(土地+建物),公寓(5樓含以下無電梯),住家用,無,,tp,信義區
1.73,28.97,0.0,0.0,0.0,0.0,2.2e6,75941.0,0.0,0.0,11.79,0.81,1.35,1,normal,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),商業用,有,坡道平面,tp,中山區
40.0,56.0,3.0,1.0,1.0,1.0,1.045e7,186607.0,0.0,0.0,56.0,0.0,0.0,0,normal,房地(土地+建物),公寓(5樓含以下無電梯),,無,,tp,萬華區
5.43,64.79,0.0,0.0,0.0,0.0,2.65e7,409014.0,0.0,0.0,50.27,0.0,0.0,1,normal,房地(土地+建物),住宅大樓(11層含以上有電梯),商業用,有,,tp,萬華區
0.26,54.71,0.0,0.0,0.0,1.0,2.0e6,71992.5,0.0,2.0e6,0.0,0.0,0.0,1,normal,車位,其他,停車空間,有,坡道平面,tp,中山區
67.83,0.0,0.0,0.0,0.0,1.0,2.492875e6,36752.0,0.0,0.0,0.0,0.0,0.0,0,normal,土地,其他,,無,,tp,內湖區
67.83,0.0,0.0,0.0,0.0,1.0,2.492875e6,36752.0,0.0,0.0,0.0,0.0,0.0,0,normal,土地,其他,,無,,tp,內湖區
67.83,0.0,0.0,0.0,0.0,1.0,2.492875e6,36752.0,0.0,0.0,0.0,0.0,0.0,0,normal,土地,其他,,無,,tp,內湖區
0.22,39.12,0.0,0.0,0.0,0.0,1.2e6,71992.5,39.12,1.2e6,0.0,0.0,0.0,1,normal,車位,其他,,有,升降機械,tp,中山區
3.06,32.34,1.0,1.0,1.0,1.0,3.5e6,108225.0,0.0,0.0,24.29,0.0,0.0,1,normal,房地(土地+建物),住宅大樓(11層含以上有電梯),商業用,有,,tp,中山區
5.05,30.13,1.0,1.0,1.0,1.0,4.78e6,158646.0,0.0,0.0,21.02,0.0,2.4,1,normal,房地(土地+建物),華廈(10層含以下有電梯),商業用,有,,tp,中山區
