鄉鎮市區,交易標的,土地移轉總面積平方公尺,移轉層次,總樓層數,建物型態,主要用途,主要建材,建物移轉總面積平方公尺,建物現況格局.房,建物現況格局.廳,建物現況格局.衛,建物現況格局.隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積.平方公尺.,車位總價元,主建物面積,附屬建物面積,陽台面積,電梯
中山區,房地(土地+建物),2.67,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,6.76,1,1,1,1,無,1350000,199704,,0.0,0,6.76,0.0,0.0,0
士林區,土地,128.08,,,其他,,,0.0,0,0,0,1,無,9647000,75320,,0.0,0,0.0,0.0,0.0,0
北投區,房地(土地+建物),14.51,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,52.16,3,2,1,1,無,4441000,85142,,0.0,0,46.47,0.0,2.58,0
北投區,土地,63.83,,,其他,,,0.0,0,0,0,1,無,1600000,25067,,0.0,0,0.0,0.0,0.0,0
士林區,車位,0.07,一層,七層,其他,日常用品零售業,鋼筋混凝土造,39.89,0,0,0,1,無,1800000,,升降平面,39.88,1800000,0.0,0.0,0.0,1
大安區,房地(土地+建物)+車位,47.85,二層，三層,八層,華廈(10層含以下有電梯),其他,鋼筋混凝土造,266.73,4,2,3,1,有,68000000,254930,升降機械,0.0,0,162.47,2.13,14.11,1
萬華區,房地(土地+建物),4.71,九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,43.24,1,1,1,1,有,8700000,201203,,0.0,0,30.03,0.0,2.52,1
文山區,房地(土地+建物),1.97,三層,十三層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,11.06,0,0,0,0,有,980000,88608,,0.0,0,2.46,0.0,2.52,1
文山區,房地(土地+建物),1.85,三層,十三層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,16.7,0,0,0,0,有,1485000,88922,,0.0,0,4.81,0.0,0.0,1
文山區,房地(土地+建物),1.85,三層,十三層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,10.32,0,0,0,0,有,915000,88663,,0.0,0,2.25,0.0,2.52,1
文山區,房地(土地+建物),1.73,二層,十三層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,15.52,0,0,0,0,有,1150000,74098,,0.0,0,4.11,0.0,0.0,1
中山區,土地,55.19,,,其他,,,0.0,0,0,0,1,無,2000000,36238,,0.0,0,0.0,0.0,0.0,0
中山區,房地(土地+建物)+車位,32.14,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,238.34,3,2,2,1,有,69500000,291600,塔式車位,0.0,0,121.74,7.65,13.17,1
中山區,車位,0.15,一層,十二層,其他,商業用,鋼筋混凝土造,16.19,0,0,0,1,有,990000,,坡道機械,16.19,990000,0.0,0.0,0.0,1
南港區,房地(土地+建物),19.37,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,121.89,2,2,1,1,有,22122000,181492,,0.0,0,83.7,3.37,11.71,1
信義區,土地,3.12,,,其他,,,0.0,0,0,0,1,無,1000000,320513,,0.0,0,0.0,0.0,0.0,0
大安區,房地(土地+建物),16.62,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,83.35,3,1,2,1,有,14000000,167966,,0.0,0,66.75,0.0,4.84,1
士林區,土地,103.33,,,其他,,,0.0,0,0,0,1,無,206666,2000,,0.0,0,0.0,0.0,0.0,0
士林區,土地,344.85,,,其他,,,0.0,0,0,0,1,無,27122400,78650,,0.0,0,0.0,0.0,0.0,0
士林區,土地,315.0,,,其他,,,0.0,0,0,0,1,無,23821875,75625,,0.0,0,0.0,0.0,0.0,0
大安區,土地,0.15,,,其他,,,0.0,0,0,0,1,無,25000,0,,0.0,0,0.0,0.0,0.0,0
信義區,車位,2.0,地下一層，地下二層,十四層,其他,見使用執照,鋼筋混凝土造,43.78,0,0,0,1,有,4250000,,坡道平面,43.78,4250000,0.0,0.0,0.0,1
北投區,房地(土地+建物),14.36,五層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,101.1,2,1,2,1,有,18000000,178042,,0.0,0,54.23,0.0,16.91,1
中山區,車位,0.17,地下四層,十六層,其他,見使用執照,鋼筋混凝土造,32.75,0,0,0,1,有,2450000,,坡道平面,32.75,2450000,0.0,0.0,0.0,1
內湖區,房地(土地+建物)+車位,14.78,八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,100.54,2,1,1,1,有,18800000,186990,坡道機械,13.85,0,45.46,6.35,4.47,1
萬華區,房地(土地+建物),18.06,二層,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,78.62,1,1,1,1,有,15500000,197151,,0.0,0,54.23,1.23,0.0,1
萬華區,車位,0.41,地下二層,十四層,其他,停車場,鋼筋混凝土造,60.56,0,0,0,1,無,2600000,,坡道平面,0.0,2600000,0.0,0.0,0.0,0
士林區,房地(土地+建物),9.44,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,49.45,2,1,1,1,有,11060000,223660,,0.0,0,47.85,0.0,1.6,1
信義區,房地(土地+建物)+車位,72.86,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,535.73,3,2,4,1,有,202200000,432637,坡道平面,96.1,12000000,231.7,22.6,31.76,1
南港區,車位,0.18,一層,九層,其他,見使用執照,鋼筋混凝土造,34.81,0,0,0,1,有,2000000,,坡道平面,0.0,2000000,0.0,0.0,0.0,1
松山區,車位,0.04,地下五層,十六層,其他,見使用執照,鋼骨造,32.3,0,0,0,1,無,2900000,,坡道平面,32.3,2900000,0.0,0.0,0.0,0
信義區,房地(土地+建物),38.75,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,78.49,3,1,1,1,無,11160000,142184,,0.0,0,78.49,0.0,0.0,0
中山區,房地(土地+建物)+車位,1.73,九層,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,28.97,0,0,0,0,有,2200000,75941,坡道平面,0.0,0,11.79,0.81,1.35,1
萬華區,房地(土地+建物),40.0,一層,二層,公寓(5樓含以下無電梯),,加強磚造,56.0,3,1,1,1,無,10450000,186607,,0.0,0,56.0,0.0,0.0,0
萬華區,房地(土地+建物),5.43,一層，騎樓,十五層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,64.79,0,0,0,0,有,26500000,409014,,0.0,0,50.27,0.0,0.0,1
中山區,車位,0.26,地下二層，地下三層，地下四層，地下五層,十四層,其他,停車空間,鋼筋混凝土造,54.71,0,0,0,1,有,2000000,,坡道平面,0.0,2000000,0.0,0.0,0.0,1
內湖區,土地,67.83,,,其他,,,0.0,0,0,0,1,無,2492875,36752,,0.0,0,0.0,0.0,0.0,0
內湖區,土地,67.83,,,其他,,,0.0,0,0,0,1,無,2492875,36752,,0.0,0,0.0,0.0,0.0,0
內湖區,土地,67.83,,,其他,,,0.0,0,0,0,1,無,2492875,36752,,0.0,0,0.0,0.0,0.0,0
中山區,車位,0.22,,,其他,,,39.12,0,0,0,0,有,1200000,,升降機械,39.12,1200000,0.0,0.0,0.0,1
中山區,房地(土地+建物),3.06,四層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,32.34,1,1,1,1,有,3500000,108225,,0.0,0,24.29,0.0,0.0,1
中山區,房地(土地+建物),5.05,三層,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,30.13,1,1,1,1,有,4780000,158646,,0.0,0,21.02,0.0,2.4,1
信義區,土地,22.5,,,其他,,,0.0,0,0,0,1,無,2161013,96045,,0.0,0,0.0,0.0,0.0,0
松山區,房地(土地+建物),30.25,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,87.41,3,2,1,1,無,21210000,242650,,0.0,0,78.45,0.0,8.96,0
信義區,車位,0.31,,,其他,,,32.77,0,0,0,1,有,2350000,,坡道平面,32.78,2350000,0.0,0.0,0.0,1
松山區,房地(土地+建物),5.05,九層,十二層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,45.48,1,1,1,1,有,11200000,246262,,0.0,0,29.26,1.31,3.42,1
北投區,房地(土地+建物),12.03,八層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,103.68,3,2,1,1,有,10000000,96451,,0.0,0,83.97,0.0,10.27,1
大安區,土地,3.5,,,其他,,,0.0,0,0,0,1,無,221550,63300,,0.0,0,0.0,0.0,0.0,0
大安區,土地,15.2,,,其他,,,0.0,0,0,0,1,無,1278599,84118,,0.0,0,0.0,0.0,0.0,0
大同區,土地,284.08,,,其他,,,0.0,0,0,0,1,無,7856807,27657,,0.0,0,0.0,0.0,0.0,0
大同區,土地,12.0,,,其他,,,0.0,0,0,0,1,無,600000,50000,,0.0,0,0.0,0.0,0.0,0
萬華區,土地,12.82,,,其他,,,0.0,0,0,0,1,無,220000,17161,,0.0,0,0.0,0.0,0.0,0
中正區,房地(土地+建物),61.42,三層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,204.72,5,2,2,1,有,69900000,341442,,0.0,0,127.68,3.03,15.26,1
大安區,房地(土地+建物),7.02,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,37.7,1,1,1,1,有,9000000,238727,,0.0,0,21.65,0.0,5.88,1
